municipio,Ano,focos
CHAVES,2013,143
CHAVES,2014,264
CHAVES,2015,290
CHAVES,2016,237
CHAVES,2017,213
CHAVES,2018,117
CHAVES,2019,45
CHAVES,2020,56
CHAVES,2021,39
CHAVES,2022,42
CHAVES,2023,186
CHAVES,2024,225
COLARES,2008,21
COLARES,2009,16
COLARES,2010,8
COLARES,2011,17
COLARES,2012,19
COLARES,2013,9
COLARES,2014,14
COLARES,2015,12
COLARES,2016,10
COLARES,2017,7
COLARES,2019,4
COLARES,2020,5
COLARES,2021,3
COLARES,2022,2
COLARES,2023,2
COLARES,2024,14
CONCEIÇÃO DO ARAGUAIA,2008,356
CONCEIÇÃO DO ARAGUAIA,2009,240
CONCEIÇÃO DO ARAGUAIA,2010,1018
CONCEIÇÃO DO ARAGUAIA,2011,129
CONCEIÇÃO DO ARAGUAIA,2012,299
CONCEIÇÃO DO ARAGUAIA,2013,293
CONCEIÇÃO DO ARAGUAIA,2014,235
CONCEIÇÃO DO ARAGUAIA,2015,415
CONCEIÇÃO DO ARAGUAIA,2016,286
CONCEIÇÃO DO ARAGUAIA,2017,647
CONCEIÇÃO DO ARAGUAIA,2018,202
CONCEIÇÃO DO ARAGUAIA,2019,296
CONCEIÇÃO DO ARAGUAIA,2020,507
CONCEIÇÃO DO ARAGUAIA,2021,191
CONCEIÇÃO DO ARAGUAIA,2022,246
CONCEIÇÃO DO ARAGUAIA,2023,244
CONCEIÇÃO DO ARAGUAIA,2024,440
CONCÓRDIA DO PARÁ,2008,210
CONCÓRDIA DO PARÁ,2009,218
CONCÓRDIA DO PARÁ,2010,112
CONCÓRDIA DO PARÁ,2011,149
CONCÓRDIA DO PARÁ,2012,158
CONCÓRDIA DO PARÁ,2013,142
CONCÓRDIA DO PARÁ,2014,138
CONCÓRDIA DO PARÁ,2015,173
CONCÓRDIA DO PARÁ,2016,119
CONCÓRDIA DO PARÁ,2017,134
CONCÓRDIA DO PARÁ,2018,66
CONCÓRDIA DO PARÁ,2019,64
CONCÓRDIA DO PARÁ,2020,85
CONCÓRDIA DO PARÁ,2021,45
CONCÓRDIA DO PARÁ,2022,99
CONCÓRDIA DO PARÁ,2023,95
CONCÓRDIA DO PARÁ,2024,80
CUMARU DO NORTE,2008,1148
CUMARU DO NORTE,2009,318
CUMARU DO NORTE,2010,4543
CUMARU DO NORTE,2011,389
CUMARU DO NORTE,2012,752
CUMARU DO NORTE,2013,423
CUMARU DO NORTE,2014,592
CUMARU DO NORTE,2015,708
CUMARU DO NORTE,2016,392
CUMARU DO NORTE,2017,1311
CUMARU DO NORTE,2018,232
CUMARU DO NORTE,2019,446
CUMARU DO NORTE,2020,730
CUMARU DO NORTE,2021,207
CUMARU DO NORTE,2022,638
CUMARU DO NORTE,2023,282
CUMARU DO NORTE,2024,1347
CURIONÓPOLIS,2008,86
CURIONÓPOLIS,2009,45
CURIONÓPOLIS,2010,204
CURIONÓPOLIS,2011,43
CURIONÓPOLIS,2012,63
CURIONÓPOLIS,2013,17
CURIONÓPOLIS,2014,68
CURIONÓPOLIS,2015,118
CURIONÓPOLIS,2016,50
CURIONÓPOLIS,2017,137
CURIONÓPOLIS,2018,29
CURIONÓPOLIS,2019,53
CURIONÓPOLIS,2020,25
CURIONÓPOLIS,2021,17
CURIONÓPOLIS,2022,45
CURIONÓPOLIS,2023,47
CURIONÓPOLIS,2024,90
CURRALINHO,2008,88
CURRALINHO,2009,74
CURRALINHO,2010,82
CURRALINHO,2011,47
CURRALINHO,2012,79
CURRALINHO,2013,110
CURRALINHO,2014,76
CURRALINHO,2015,85
CURRALINHO,2016,151
CURRALINHO,2017,96
CURRALINHO,2018,73
CURRALINHO,2019,77
CURRALINHO,2020,166
CURRALINHO,2021,37
CURRALINHO,2022,87
CURRALINHO,2023,167
CURRALINHO,2024,107
CURUÁ,2008,70
CURUÁ,2009,175
CURUÁ,2010,53
CURUÁ,2011,43
CURUÁ,2012,108
CURUÁ,2013,76
CURUÁ,2014,104
CURUÁ,2015,156
CURUÁ,2016,94
CURUÁ,2017,131
