year,areakm,municipality,geocode_ibge,state,FullLocation,Ano,Código do Município,Nome do Município,"Produto Interno Bruto per capita, 
a preços correntes
(R$ 1,00)"
2015,95.11183780196777,Anapu,1500859,Pará,"Anapu, Pará, Brazil",2015.0,1500859.0,Anapu,11886.86
2016,85.49029881944048,Anapu,1500859,Pará,"Anapu, Pará, Brazil",2016.0,1500859.0,Anapu,11803.64
2017,98.43099279751124,Anapu,1500859,Pará,"Anapu, Pará, Brazil",2017.0,1500859.0,Anapu,12961.73
2018,56.35094426890621,Anapu,1500859,Pará,"Anapu, Pará, Brazil",2018.0,1500859.0,Anapu,13579.14
2019,217.31258541849567,Anapu,1500859,Pará,"Anapu, Pará, Brazil",2019.0,1500859.0,Anapu,14888.52
2020,111.94868902581244,Anapu,1500859,Pará,"Anapu, Pará, Brazil",2020.0,1500859.0,Anapu,18277.39
2021,133.74369541000132,Anapu,1500859,Pará,"Anapu, Pará, Brazil",2021.0,1500859.0,Anapu,20061.15
2022,108.23945055799145,Anapu,1500859,Pará,"Anapu, Pará, Brazil",,,,
2023,95.72291367705787,Anapu,1500859,Pará,"Anapu, Pará, Brazil",,,,
2024,56.84979123420708,Anapu,1500859,Pará,"Anapu, Pará, Brazil",,,,
2008,0.3134231725368131,Augusto Corrêa,1500909,Pará,"Augusto Corrêa, Pará, Brazil",2008.0,1500909.0,Augusto Corrêa,2797.8
2009,0.3903537788577094,Augusto Corrêa,1500909,Pará,"Augusto Corrêa, Pará, Brazil",2009.0,1500909.0,Augusto Corrêa,2844.7
2010,0.1360282652659684,Augusto Corrêa,1500909,Pará,"Augusto Corrêa, Pará, Brazil",2010.0,1500909.0,Augusto Corrêa,3291.63
2011,0.0,Augusto Corrêa,1500909,Pará,"Augusto Corrêa, Pará, Brazil",2011.0,1500909.0,Augusto Corrêa,4128.94
2012,0.0,Augusto Corrêa,1500909,Pará,"Augusto Corrêa, Pará, Brazil",2012.0,1500909.0,Augusto Corrêa,4894.55
2013,0.0,Augusto Corrêa,1500909,Pará,"Augusto Corrêa, Pará, Brazil",2013.0,1500909.0,Augusto Corrêa,5953.23
2014,0.0,Augusto Corrêa,1500909,Pará,"Augusto Corrêa, Pará, Brazil",2014.0,1500909.0,Augusto Corrêa,5831.88
2015,0.1863689384625742,Augusto Corrêa,1500909,Pará,"Augusto Corrêa, Pará, Brazil",2015.0,1500909.0,Augusto Corrêa,6571.49
2016,0.0,Augusto Corrêa,1500909,Pará,"Augusto Corrêa, Pará, Brazil",2016.0,1500909.0,Augusto Corrêa,7008.91
2017,0.0,Augusto Corrêa,1500909,Pará,"Augusto Corrêa, Pará, Brazil",2017.0,1500909.0,Augusto Corrêa,7439.09
2018,0.0,Augusto Corrêa,1500909,Pará,"Augusto Corrêa, Pará, Brazil",2018.0,1500909.0,Augusto Corrêa,6716.47
2019,0.0,Augusto Corrêa,1500909,Pará,"Augusto Corrêa, Pará, Brazil",2019.0,1500909.0,Augusto Corrêa,7052.96
2020,0.0,Augusto Corrêa,1500909,Pará,"Augusto Corrêa, Pará, Brazil",2020.0,1500909.0,Augusto Corrêa,7883.59
2021,0.0,Augusto Corrêa,1500909,Pará,"Augusto Corrêa, Pará, Brazil",2021.0,1500909.0,Augusto Corrêa,7750.19
2022,0.0,Augusto Corrêa,1500909,Pará,"Augusto Corrêa, Pará, Brazil",,,,
2023,0.3060583370234578,Augusto Corrêa,1500909,Pará,"Augusto Corrêa, Pará, Brazil",,,,
2024,0.0,Augusto Corrêa,1500909,Pará,"Augusto Corrêa, Pará, Brazil",,,,
2008,17.16195844664609,Aurora do Pará,1500958,Pará,"Aurora do Pará, Pará, Brazil",2008.0,1500958.0,Aurora do Pará,4351.2
2009,10.674049678456814,Aurora do Pará,1500958,Pará,"Aurora do Pará, Pará, Brazil",2009.0,1500958.0,Aurora do Pará,4884.79
2010,10.80711915581371,Aurora do Pará,1500958,Pará,"Aurora do Pará, Pará, Brazil",2010.0,1500958.0,Aurora do Pará,8012.37
2011,6.787667818157384,Aurora do Pará,1500958,Pará,"Aurora do Pará, Pará, Brazil",2011.0,1500958.0,Aurora do Pará,6870.69
2012,0.8782208379182289,Aurora do Pará,1500958,Pará,"Aurora do Pará, Pará, Brazil",2012.0,1500958.0,Aurora do Pará,6397.32
2013,4.702666084381167,Aurora do Pará,1500958,Pará,"Aurora do Pará, Pará, Brazil",2013.0,1500958.0,Aurora do Pará,8108.05
2014,0.8579831547625071,Aurora do Pará,1500958,Pará,"Aurora do Pará, Pará, Brazil",2014.0,1500958.0,Aurora do Pará,8294.47
2015,0.92480832524919,Aurora do Pará,1500958,Pará,"Aurora do Pará, Pará, Brazil",2015.0,1500958.0,Aurora do Pará,8723.3
2016,1.5096772607308937,Aurora do Pará,1500958,Pará,"Aurora do Pará, Pará, Brazil",2016.0,1500958.0,Aurora do Pará,9962.92
2017,4.618091519472411,Aurora do Pará,1500958,Pará,"Aurora do Pará, Pará, Brazil",2017.0,1500958.0,Aurora do Pará,9103.54
2018,3.65902771410564,Aurora do Pará,1500958,Pará,"Aurora do Pará, Pará, Brazil",2018.0,1500958.0,Aurora do Pará,8439.67
2019,1.2920651179927138,Aurora do Pará,1500958,Pará,"Aurora do Pará, Pará, Brazil",2019.0,1500958.0,Aurora do Pará,7041.68
2020,3.106777818352438,Aurora do Pará,1500958,Pará,"Aurora do Pará, Pará, Brazil",2020.0,1500958.0,Aurora do Pará,8432.15
2021,2.5933984659742526,Aurora do Pará,1500958,Pará,"Aurora do Pará, Pará, Brazil",2021.0,1500958.0,Aurora do Pará,9584.87
2022,2.116373694241257,Aurora do Pará,1500958,Pará,"Aurora do Pará, Pará, Brazil",,,,
2023,2.871654912123385,Aurora do Pará,1500958,Pará,"Aurora do Pará, Pará, Brazil",,,,
2024,4.870145931863775,Aurora do Pará,1500958,Pará,"Aurora do Pará, Pará, Brazil",,,,
2008,32.95077420859727,Aveiro,1501006,Pará,"Aveiro, Pará, Brazil",2008.0,1501006.0,Aveiro,2681.11
2009,29.196509231081496,Aveiro,1501006,Pará,"Aveiro, Pará, Brazil",2009.0,1501006.0,Aveiro,2957.12
2010,17.928461633753603,Aveiro,1501006,Pará,"Aveiro, Pará, Brazil",2010.0,1501006.0,Aveiro,3548.43
2011,34.50322506717344,Aveiro,1501006,Pará,"Aveiro, Pará, Brazil",2011.0,1501006.0,Aveiro,4184.8
2012,15.89933029421095,Aveiro,1501006,Pará,"Aveiro, Pará, Brazil",2012.0,1501006.0,Aveiro,4274.03
2013,14.065318484194853,Aveiro,1501006,Pará,"Aveiro, Pará, Brazil",2013.0,1501006.0,Aveiro,5472.26
2014,29.789683267619413,Aveiro,1501006,Pará,"Aveiro, Pará, Brazil",2014.0,1501006.0,Aveiro,5765.75
2015,16.03755506479168,Aveiro,1501006,Pará,"Aveiro, Pará, Brazil",2015.0,1501006.0,Aveiro,6142.82
2016,13.393869022263436,Aveiro,1501006,Pará,"Aveiro, Pará, Brazil",2016.0,1501006.0,Aveiro,7559.08
2017,30.64642732047848,Aveiro,1501006,Pará,"Aveiro, Pará, Brazil",2017.0,1501006.0,Aveiro,9074.83
2018,20.953917162000604,Aveiro,1501006,Pará,"Aveiro, Pará, Brazil",2018.0,1501006.0,Aveiro,7209.82
2019,44.975887475388426,Aveiro,1501006,Pará,"Aveiro, Pará, Brazil",2019.0,1501006.0,Aveiro,7506.95
2020,35.014136994790235,Aveiro,1501006,Pará,"Aveiro, Pará, Brazil",2020.0,1501006.0,Aveiro,8466.67
2021,55.57730690071816,Aveiro,1501006,Pará,"Aveiro, Pará, Brazil",2021.0,1501006.0,Aveiro,9254.57
2022,53.07970235749129,Aveiro,1501006,Pará,"Aveiro, Pará, Brazil",,,,
2023,29.35710807868796,Aveiro,1501006,Pará,"Aveiro, Pará, Brazil",,,,
2024,51.497681673172806,Aveiro,1501006,Pará,"Aveiro, Pará, Brazil",,,,
